ItemNum,Description,ScheduleFee
31376,"Malignant melanoma, appendageal carcinoma, malignant connective tissue tumour of skin or merkel cell carcinoma of skin, definitive surgical excision (other than by shave excision) and repair of, including excision of the primary tumour bed, if: (a) the tumour is excised from any part of the body not covered by item 31371, 31372 or 31373; and (b) the necessary excision diameter is more than 30 mm; and (c) the excised specimen is sent for histological examination; and (d) malignancy is confirmed from the excised specimen or previous biopsy (Anaes.)",400.6
31423,"Lymph nodes of neck, selective dissection of one or 2 lymph node levels involving removal of soft tissue and lymph nodes from one side of the neck, on a patient 10 years of age or over, other than a service associated with a service to which item 30256 or 30275 applies on the same side (Anaes.) (Assist.)",457.75
31426,"Lymph nodes of neck, selective dissection of 3 lymph node levels involving removal of soft tissue and lymph nodes from one side of the neck, other than a service associated with a service to which item 30256 or 30275 applies on the same side(H) (Anaes.) (Assist.)",915.35
31429,"Lymph nodes of neck, selective dissection of 4 lymph node levels on one side of the neck with preservation of one or more of: internal jugular vein, sternocleido-mastoid muscle, or spinal accessory nerve, other than a service associated with a service to which item 30256 or 30275 applies on the same side(H) (Anaes.) (Assist.)",1426.45
31438,"Lymph nodes of neck, comprehensive dissection of all 5 lymph node levels on one side of the neck with preservation of one or more of: internal jugular vein, sternocleido-mastoid muscle, or spinal accessory nerve, other than a service associated with a service to which item 30256 or 30275 applies on the same side(H) (Anaes.) (Assist.)",1777.4
31456,"GASTROSCOPY and insertion of nasogastric or nasoenteral feeding tube, where blind insertion of the feeding tube has failed or is inappropriate due to the patient's medical condition (Anaes.)",279.8
31458,"GASTROSCOPY and insertion of nasogastric or nasoenteral feeding tube, where blind insertion of the feeding tube has failed or is inappropriate due to the patient's medical condition, and where the use of imaging intensification is clinically indicated (Anaes.)",335.65
31460,"PERCUTANEOUS GASTROSTOMY TUBE, jejunal extension to, including any associated imaging services (Anaes.) (Assist.)",406.7
31466,"ANTIREFLUX OPERATION BY FUNDOPLASTY, via abdominal or thoracic approach, with or without closure of the diaphragmatic hiatus, revision procedure, by laparoscopy or open operation (Anaes.) (Assist.)",1488.9
31468,"Para-oesophageal hiatus hernia, repair of, with complete reduction of hernia, resection of sac and repair of hiatus, with or without fundoplication, other than a service associated with a service to which item 30756 or 31466 applies (Anaes.) (Assist.)",1635.75
31500,"BREAST, BENIGN LESION up to and including 50mm in diameter, including simple cyst, fibroadenoma or fibrocystic disease, open surgical biopsy or excision of, with or without frozen section histology (Anaes.)",296.2
31503,"BREAST, BENIGN LESION more than 50mm in diameter, excision of (Anaes.) (Assist.)",395
31506,"BREAST, ABNORMALITY detected by mammography or ultrasound where guidewire or other localisation procedure is performed, excision biopsy of (Anaes.) (Assist.)",444.45
31512,"Breast, malignant tumour, complete local excision of, with or without frozen section histology, other than a service associated with a service to which:(a) item 45523 or 45558 applies; and(b) item 31513, 31514, 45520, 45522 or 45556 applies on the same side (if performed by the same medical practitioner)(H) (Anaes.) (Assist.)",740.65
31515,"BREAST, TUMOUR SITE, re-excision of following open biopsy or incomplete excision of malignant tumour (Anaes.) (Assist.)",496.9
31519,Total mastectomy (unilateral) (H) (Anaes.) (Assist.),838.55
31525,"Mastectomy for gynaecomastia (unilateral), with or without liposuction (suction assisted lipolysis), if:(a) breast enlargement is not due to obesity and is not proportionate to body habitus; and(b) sufficient photographic evidence demonstrating the clinical need for the service is included in patient notes;not being a service associated with a service to which item 45585 applies (H) (Anaes.) (Assist.)",592.4
31536,"Breast, preoperative localisation of lesion of, by hookwire or similar device, using interventional imaging techniques, but not including imaging (Anaes.) (Anaes.)",215.8
31551,"BREAST, HAEMATOMA, SEROMA OR INFLAMMATORY CONDITION including abscess, granulomatous mastitis or similar, exploration and drainage of when undertaken in the operating theatre of a hospital, excluding aftercare (Anaes.)",246.9
31554,"BREAST, microdochotomy of, for benign or malignant condition (Anaes.) (Assist.)",493.8
31557,"BREAST CENTRAL DUCTS, excision of, for benign condition (Anaes.) (Assist.)",395
31560,"ACCESSORY BREAST TISSUE, excision of (Anaes.) (Assist.)",395
31569,"Adjustable gastric band, placement of, with or without crural repair taking 45 minutes or less, for a patient with clinically severe obesity (Anaes.) (Assist.)",967.9
31572,"Gastric bypass by Roux-en-Y including associated anastomoses, with or without crural repair taking 45 minutes or less, for a patient with clinically severe obesity not being associated with a service to which item 30515 applies (Anaes.) (Assist.)",1190.95
31575,"Sleeve gastrectomy, with or without crural repair taking 45 minutes or less, for a patient with clinically severe obesity (Anaes.) (Assist.)",967.9
31578,"Gastroplasty (excluding by gastric plication), with or without crural repair taking 45 minutes or less, for a patient with clinically severe obesity (Anaes.) (Assist.)",967.9
31581,"Gastric bypass by biliopancreatic diversion with or without duodenal switch including gastric resection and anastomoses, with or without crural repair taking 45 minutes or less, for a patient with clinically severe obesity (Anaes.) (Assist.)",1190.95
31584,"Surgical reversal of previous bariatric procedure, including revision or conversion, if:a) the previous procedure involved any of the following:(i) placement of adjustable gastric banding;(ii) gastric bypass;(iii) sleeve gastrectomy;(iv) gastroplasty (excluding gastric plication);(v) biliopancreatic diversion; and(b) any of items 31569 to 31581 applied to the previous procedureother than a service associated with a service to which item 31585 applies (Anaes.) (Assist.)",1753.45
31585,Removal of adjustable gastric band (Anaes.) (Assist.),947.95
32000,"LARGE INTESTINE, resection of, without anastomosis, including right hemicolectomy (including formation of stoma) (Anaes.) (Assist.)",1174.9
32003,"LARGE INTESTINE, resection of, with anastomosis, including right hemicolectomy (Anaes.) (Assist.)",1228.95
32005,"LARGE INTESTINE, subtotal colectomy (resection of right colon, transverse colon and splenic flexure) with anastomosis, not being a service associated with a service to which item 32000, 32003, 32004, 32006 or 32030 applies (H) (Anaes.) (Assist.)",1480.45
32006,"Left hemicolectomy, including the descending and sigmoid colon (including formation of stoma), other than a service associated with a service to which item 32024, 32025, 32026 or 32028 applies (H) (Anaes.) (Assist.)",1310.55
32009,TOTAL COLECTOMY AND ILEOSTOMY (Anaes.) (Assist.),1554.55
32024,"RECTUM, HIGH RESTORATIVE ANTERIOR RESECTION WITH INTRAPERITONEAL ANASTOMOSIS (of the rectum) greater than 10 centimetres from the anal vergeexcluding resection of sigmoid colon alone not being a service associated with a service to which item 32000, 32030, 32106 or 32232 applies (H) (Anaes.) (Assist.)",1554.55
32025,"RECTUM, LOW RESTORATIVE ANTERIOR RESECTION WITH EXTRAPERITONEAL ANASTOMOSIS (of the rectum) less than 10 centimetres from the anal verge, with or without covering stoma not being a service associated with a service to which item 32000, 32030, 32106 or 32232 applies (H) (Anaes.) (Assist.)",2079.4
32026,"Rectum, ultra-low restorative resection, with or without covering stoma and with or without colonic reservoir, if the anastomosis is sited in the anorectal region and is 6 cm or less from the anal verge, not being a service associated with a service to which item 32000, 32030, 32106, 32117 or 32232 applies (H) (Anaes.) (Assist.)",2328.4
32030,"RECTOSIGMOIDECTOMY, including formation of stoma (H) (Anaes.) (Assist.)",1174.9
32033,"RESTORATION OF BOWEL continuity following rectosigmoidectomy or similar operation, including dismantling of the stoma (H) (Anaes.) (Assist.)",1717.2
32039,"RECTUM AND ANUS, ABDOMINOPERINEAL RESECTION OF1 surgeon (Anaes.) (Assist.)",1748.75
32084,"Sigmoidoscopy or colonoscopy up to the hepatic flexure, with or without biopsy, other than a service associated with a service to whichany of items 32222 to 32228 applies. (Anaes.)",126.9
32087,"Endoscopic examination of the colon up to the hepatic flexure by sigmoidoscopy or colonoscopy for the removal of one or more polyps, other than a service associated with a service to which any of items 32222 to 32228 applies (Anaes.) (Anaes.)",233.2
32094,ENDOSCOPIC DILATATION OF COLORECTAL STRICTURES including colonoscopy (Anaes.),628.65
32095,"ENDOSCOPIC EXAMINATION of SMALL BOWEL with flexible endoscope passed by stoma, with or without biopsies (Anaes.)",145.6
32117,"Rectal prolapse, abdominal rectopexy of, excluding ventral mesh rectopexy, not being a service associated with a service to which item 32025 or 32026 applies (H) (Anaes.) (Assist.)",1431.1
32118,"Treatment of external rectal prolapse, or of symptomatic high grade rectal intussusception (the rectum descends to the level of or into the anal canal, confirmed by diagnostic imaging): (a) by minimally invasive surgery involving: (i) ventral dissection of the extra-peritoneal rectum;and (ii)suspension of the rectum from the sacral promontory by means of a prosthesis; and (b) including suspension of the vagina if performed, and any associated repair; other than a service associated with a service to which item 30390, 35595 or 35597 applies (H) (Anaes.) (Assist.)",1678.25
32129,"ANAL SPHINCTER, repair (H) (Anaes.) (Assist.)",723.05
32135,"Treatment of haemorrhoids or rectal prolapse, including rubber band ligation or sclerotherapy for, not being a service to which item 32139 applies (Anaes.)",76.9
32139,"Operative treatment of haemorrhoids involving third-degree or fourth-degree haemorrhoids, including excision of anal skin tags when performed, not being a service associated with a service to which item 32135 or 32233 applies (H) (Anaes.) (Assist.)",418.9
32150,"Operation for anal fissure, including excision, injection of Botulinum toxin or sphincterotomy, excluding dilatation (Anaes.) (Assist.)",292.75
32159,"ANAL FISTULA, treatment of, by excision or by insertion of a Seton, or by a combination of both procedures, involving the lower half of the anal sphincter mechanism (Anaes.) (Assist.)",379.65
32162,"ANAL FISTULA, treatment of, by excision or by insertion of a Seton, or by a combination of both procedures, involving the upper half of the anal sphincter mechanism (Anaes.) (Assist.)",551.35
32165,"Operative treatment of anal fistula, repair by mucosal advancement flap, including ligation of inter-sphincteric fistula tract (LIFT) or other complex sphincter sparing surgery (Anaes.) (Assist.)",723.05
32166,ANAL FISTULA - readjustment of Seton (Anaes.),234.95
32171,"Anorectal examination, with or without biopsy, under general anaesthetic, with or without faecal disimpaction, other than a service associated with a service to which another item in this Group applies (H) (Anaes.)",101.15
32175,"INTRA-ANAL, PERIANAL or ISCHIO-RECTAL ABSCESS, draining of, undertaken in the operating theatre of a hospital (excluding aftercare) (Anaes.)",185.3
32213,"Sacral nerve lead or leads, placement of, percutaneous or open, including intraoperative test stimulation and programming, for the management of faecal incontinence (H) (Anaes.)",752.95
32222,"Endoscopic examination of the colon to the caecum by colonoscopy, for a patient: (a) following a positive faecal occult blood test; or (b) who has symptoms consistent with pathology of the colonic mucosa; or (c) who has anaemia or iron deficiency; or (d) for whom diagnostic imaging has shown an abnormality of the colon; or (e) who is undergoing the first examination following surgery for colorectal cancer; or (f) who is undergoing pre‑operative evaluation; or (g) for whom a repeat colonoscopy is required due to inadequate bowel preparation for the patient’s previous colonoscopy; or (h) for the management of inflammatory bowel disease; other than a service associated with a service to which item 32230 applies Applicable once on a day under a single episode of anaesthesia or other sedation (Anaes.)",380.9
32223,"Endoscopic examination of the colon to the caecum by colonoscopy, for a patient: (a) who has had a colonoscopy that revealed: (i) one to 4 adenomas, each of which was less than 10 mm in diameter, had no villous features and had no high grade dysplasia; or (ii) one or 2 sessile serrated lesions, each of which was less than 10 mm in diameter, and without dysplasia; or (b) who has a moderate risk of colorectal cancer due to family history; or (c) who has a history of colorectal cancer and has had an initial post‑operative colonoscopy that did not reveal any adenomas or colorectal cancer; other than a service associated with a service to which item 32230 applies Applicable once in any 5 year period (Anaes.)",380.9
32224,"Endoscopic examination of the colon to the caecum by colonoscopy, for a patient who has a moderate risk of colorectal cancer due to: (a) a history of adenomas, including an adenoma that: (i) was 10 mm or greater in diameter; or (ii) had villous features; or (iii) had high grade dysplasia; or (b) having had a previous colonoscopy that revealed: (i) 5 to 9 adenomas, each of which was less than 10 mm in diameter, had no villous features and had no high grade dysplasia; or (ii) one or 2 sessile serrated lesions, each of which was 10 mm or greater in diameter or had dysplasia; or (iii) a hyperplastic polyp that was 10 mm or greater in diameter; or (iv) 3 or more sessile serrated lesions, each of which was less than 10 mm in diameter and had no dysplasia; or (v) one or 2 traditional serrated adenomas, of any size; other than a service associated with a service to which item 32230 applies Applicable once in any 3 year period (Anaes.)",380.9
32225,"Endoscopic examination of the colon to the caecum by colonoscopy, for a patient who has a high risk of colorectal cancer due to having had a previous colonoscopy that: (a) revealed 10 or more adenomas; or (b) included a piecemeal, or possibly incomplete, excision of a large, sessile polyp; other than a service associated with a service to which item 32230 applies Applicable 4 times in any 12 month period (Anaes.)",380.9
32226,"Endoscopic examination of the colon to the caecum by colonoscopy, for a patient who has a high risk of colorectal cancer due to: (a) having either: (i) a known or suspected familial condition, such as familial adenomatous polyposis, Lynch syndrome or serrated polyposis syndrome; or (ii) a genetic mutation associated with hereditary colorectal cancer; or (b) having had a previous colonoscopy that revealed: (i) 5 or more sessile serrated lesions, each of which was less than 10 mm in diameter and had no dysplasia; or (ii) 3 or more sessile serrated lesions, one or more of which was 10 mm or greater in diameter or had dysplasia; or (iii) 3 or more traditional serrated adenomas, of any size; other than a service associated with a service to which item 32230 applies Applicable once in any 12 month period (Anaes.)",380.9
32227,"Endoscopic examination of the colon to the caecum by colonoscopy: (a) for the treatment of bleeding, including one or more of the following: (i) radiation proctitis; (ii) angioectasia; (iii) post‑polypectomy bleeding; or (b) for the treatment of colonic strictures with balloon dilatation Applicable only once on a day under a single episode of anaesthesia or other sedation (Anaes.)",534.45
32228,"Endoscopic examination of the colon to the caecum by colonoscopy, other than: (a) a service to which item 32222, 32223, 32224, 32225 or 32226 applies; or (b) a service associated with a service to which item 32230 applies Applicable once (Anaes.)",380.9
32230,"Endoscopic mucosal resection using electrocautery of a non‑invasive sessile or flat superficial colorectal neoplasm which is at least 25mm in diameter, if the service is supported by photographic evidence to confirm the size of the polyp in situ Applicable once per polyp (H) (Anaes.)",761.2
32231,"Rectal tumour, per anal excision of (H) (Anaes.) (Assist.)",379.65
32232,"Rectal tumour, per anal excision of, using a rectoscopy digital viewing system and pneumorectum if clinically appropriate and excluding use of a colonoscope as the operating platform, not being a service associated with a service to which item 32024, 32025 or 32106 applies (H) (Anaes.) (Assist.)",1029.3
32233,"Perineal repair of rectal prolapse, not being a service associated with a service to which item 32139 applies (H) (Anaes.) (Assist.)",731
32235,"Anal skin tags or anal polyps, excision of one or more of (Anaes.)",139.5
32236,"Anal warts, removal of, under general anaesthesia, or under regional or field nerve block (excluding pudendal block), not being a service associated with a service to which item 35507 or 35508 applies (H) (Anaes.)",198.5
32237,"Neurostimulator or receiver, subcutaneous placement of, replacement of, or removal of, including programming and placement and connection of an extension wire or wires to sacral nerve electrode(s), for the management of faecal incontinence (H) (Anaes.) (Assist.)",321.95
32504,"VARICOSE VEINS, multiple excision of tributaries, with or without division of 1 or more perforating veins - 1 leg - not being a service associated with a service to which item 32507, 32508, 32511, 32514 or 32517 applies on the same leg (Anaes.)",304.95
32507,"Varicose veins, sub‑fascial ligation of one or more incompetent perforating veins in one leg of a patient, if the service: (a) is performed by open surgical technique (not including endoscopic ligation) and the patient has significant signs or symptoms (including one or more of the following signs or symptoms) attributable to venous reflux: (i) ache; (ii) pain; (iii) tightness; (iv) skin irritation; (v) heaviness; (vi) muscle cramps; (vii) limb swelling; (viii) discolouration; (ix) discomfort; (x) any other signs or symptoms attributable to venous dysfunction; and (b) is not associated with: (i) any other varicose vein operation on the same leg; or (ii) a service (on the same leg) to which item 35200, 60072, 60075 or 60078 applies (H) (Anaes.) (Assist.)",607.9
32508,"Varicose veins, complete dissection at the sapheno‑femoral or sapheno‑popliteal junction, with or without either ligation or stripping, or both, of the great or small saphenous veins in one leg of a patient, for the first time on the same leg, including excision or injection of either tributaries or incompetent perforating veins, or both, if the patient has significant signs or symptoms (including one or more of the following signs or symptoms) attributable to venous reflux: (a) ache; (b) pain; (c) tightness; (d) skin irritation; (e) heaviness; (f) muscle cramps; (g) limb swelling; (h) discolouration; (i) discomfort; (j) any other signs or symptoms attributable to venous dysfunction (H) (Anaes.) (Assist.)",607.9
32511,"Varicose veins, complete dissection at the sapheno‑femoral and sapheno‑popliteal junction, with or without either ligation or stripping, or both, of the great or small saphenous veins in one leg of a patient, for the first time on the same leg, including excision or injection of either tributaries or incompetent perforating veins, or both, if the patient has significant signs or symptoms (including one or more of the following signs or symptoms) attributable to venous reflux: (a) ache; (b) pain; (c) tightness; (d) skin irritation; (e) heaviness; (f) muscle cramps; (g) limb swelling; (h) discolouration; (i) discomfort; (j) any other signs or symptoms attributable to venous dysfunction (H) (Anaes.) (Assist.)",903.75
32514,"Varicose veins, ligation of the great or small saphenous vein in the same leg of a patient, with or without stripping, by re‑operation for recurrent veins in the same territory—one leg—including excision or injection of either tributaries or incompetent perforating veins, or both, if the patient has significant signs or symptoms (including one or more of the following signs or symptoms) attributable to venous reflux: (a) ache; (b) pain; (c) tightness; (d) skin irritation; (e) heaviness; (f) muscle cramps; (g) limb swelling; (h) discolouration; (i) discomfort; (j) any other signs or symptoms attributable to venous dysfunction (H) (Anaes.) (Assist.)",1055.85
32517,"Varicose veins, ligation of the great and small saphenous vein in the same leg of a patient, with or without stripping, by re‑operation for recurrent veins in either territory—one leg—including excision or injection of either tributaries or incompetent perforating veins, or both, if the patient has significant signs or symptoms (including one or more of the following signs or symptoms) attributable to venous reflux: (a) ache; (b) pain; (c) tightness; (d) skin irritation; (e) heaviness; (f) muscle cramps; (g) limb swelling; (h) discolouration; (i) discomfort; (j) any other signs or symptoms attributable to venous dysfunction (H) (Anaes.) (Assist.)",1359.6
32520,"Varicose veins, abolition of venous reflux by occlusion of a primary or recurrent great or small saphenous vein (and major tributaries of saphenous veins as necessary) in one leg of a patient, using a laser probe introduced by an endovenous catheter, if all of the following apply: (a) it is documented by duplex ultrasound that the great or small saphenous vein (whichever is to be treated) of the patient demonstrates reflux of 0.5 seconds or longer; (b) the patient has significant signs or symptoms (including one or more of the following signs or symptoms) attributable to venous reflux: (i) ache; (ii) pain; (iii) tightness; (iv) skin irritation; (v) heaviness; (vi) muscle cramps; (vii) limb swelling; (viii) discolouration; (ix) discomfort; (x) any other signs or symptoms attributable to venous dysfunction; (c) the service does not include radiofrequency diathermy, radiofrequency ablation or cyanoacrylate adhesive; (d) the service is not associated with a service (on the same leg) to which any of the following items apply: (i) 32500 to 32507; (ii) 35200; (iii) 59970 to 60021; (iv) 60036 to 60045; (v) 60060 to 60078; (vi) 60500 to 60509; (vii) 61109 The service includes all preparation and immediate clinical aftercare (including excision or injection of either tributaries or incompetent perforating veins, or both) (Anaes.)",607.9
32523,"Varicose veins, abolition of venous reflux by occlusion of a primary or recurrent great or small saphenous vein (and major tributaries of saphenous veins as necessary) in one leg of a patient, using a radiofrequency catheter introduced by an endovenous catheter, if all of the following apply: (a) it is documented by duplex ultrasound that the great or small saphenous vein (whichever is to be treated) demonstrates reflux of 0.5 seconds or longer; (b) the patient has significant signs or symptoms (including one or more of the following signs or symptoms) attributable to venous reflux: (i) ache; (ii) pain; (iii) tightness; (iv) skin irritation; (v) heaviness; (vi) muscle cramps; (vii) limb swelling; (viii) discolouration; (ix) discomfort; (x) any other signs or symptoms attributable to venous dysfunction; (c) the service does not include endovenous laser therapy or cyanoacrylate adhesive; (d) the service is not associated with a service (on the same leg) to which any of the following items apply: (i) 32500 to 32507; (ii) 35200; (iii) 59970 to 60021; (iv) 60036 to 60045; (v) 60060 to 60078; (vi) 60500 to 60509; (vii) 61109 The service includes all preparation and immediate clinical aftercare (including excision or injection of either tributaries or incompetent perforating veins, or both) (Anaes.)",607.9
32526,"Varicose veins, abolition of venous reflux by occlusion of a primary or recurrent great and small saphenous vein (and major tributaries of saphenous veins as necessary) in one leg of a patient, using a radiofrequency catheter introduced by an endovenous catheter, if all of the following apply: (a) it is documented by duplex ultrasound that the great and small saphenous veins demonstrate reflux of 0.5 seconds or longer; (b) the patient has significant signs or symptoms (including one or more of the following signs or symptoms) attributable to venous reflux: (i) ache; (ii) pain; (iii) tightness; (iv) skin irritation; (v) heaviness; (vi) muscle cramps; (vii) limb swelling; (viii) discolouration; (ix) discomfort; (x) any other signs or symptoms attributable to venous dysfunction; (c) the service does not include endovenous laser therapy or cyanoacrylate adhesive; (d) the service is not associated with a service (on the same leg) to which any of the following items apply: (i) 32500 to 32507; (ii) 35200; (iii) 59970 to 60021; (iv) 60036 to 60045; (v) 60060 to 60078; (vi) 60500 to 60509; (vii) 61109 The service includes all preparation and immediate clinical aftercare (including excision or injection of either tributaries or incompetent perforating veins, or both) (Anaes.)",903.75
32528,"Varicose veins, abolition of venous reflux by occlusion of a primary or recurrent great or small saphenous vein (and major tributaries of saphenous veins as necessary) in one leg of a patient, using cyanoacrylate adhesive, if all of the following apply: (a) it is documented by duplex ultrasound that the great or small saphenous vein (whichever is to be treated) demonstrates reflux of 0.5 seconds or longer; (b) the patient has significant signs or symptoms (including one or more of the following signs or symptoms) attributable to venous reflux: (i) ache; (ii) pain; (iii) tightness; (iv) skin irritation; (v) heaviness; (vi) muscle cramps; (vii) limb swelling; (viii) discolouration; (ix) discomfort; (x) any other signs or symptoms attributable to venous dysfunction; (c) the service does not include radiofrequency diathermy, radiofrequency ablation or endovenous laser therapy; (d) the service is not associated with a service (on the same leg) to which any of the following items apply: (i) 32500 to 32507; (ii) 35200; (iii) 59970 to 60021; (iv) 60036 to 60045; (v) 60060 to 60078; (vi) 60500 to 60509; (vii) 61109 The service include all preparation and immediate clinical aftercare (including excision or injection of either tributaries or incompetent perforating veins, or both) (Anaes.)",607.9
32529,"Varicose veins, abolition of venous reflux by occlusion of a primary or recurrent great and small saphenous vein (and major tributaries of saphenous veins as necessary) in one leg of a patient, using cyanoacrylate adhesive, if all of the following apply: (a) it is documented by duplex ultrasound that the great and small saphenous veins demonstrate reflux of 0.5 seconds or longer; (b) the patient has significant signs or symptoms (including one or more of the following signs or symptoms) attributable to venous reflux: (i) ache; (ii) pain; (iii) tightness; (iv) skin irritation; (v) heaviness; (vi) muscle cramps; (vii) limb swelling; (viii) discolouration; (ix) discomfort; (x) any other signs or symptoms attributable to venous dysfunction; (c) the service does not include radiofrequency diathermy, radiofrequency ablation or endovenous laser therapy; (d) the service is not associated with a service (on the same leg) to which any of the following items apply: (i) 32500 to 32507; (ii) 35200; (iii) 59970 to 60021; (iv) 60036 to 60045; (v) 60060 to 60078; (vi) 60500 to 60509; (vii) 61109 The service includes all preparation and immediate clinical aftercare (including excision or injection of either tributaries or incompetent perforating veins, or both) (Anaes.)",903.75
32742,"FEMORAL ARTERY BYPASS GRAFTING using vein, including harvesting of vein (when it is the ipsilateral long saphenous vein) with distal anastomosis to below knee popliteal artery (Anaes.) (Assist.)",1687.75
32745,"FEMORAL ARTERY BYPASS GRAFTING using vein, including harvesting of vein (when it is the ipsilateral long saphenous vein) with distal anastomosis to tibio peroneal trunk or tibial or peroneal artery (Anaes.) (Assist.)",1927.5
33119,"INFRARENAL ABDOMINAL AORTIC ANEURYSM, replacement by bifurcation graft to one or both iliac arteries using endovascular repair procedure, excluding associated radiological services (Anaes.) (Assist.)",1771
33142,"FALSE ANEURYSM, repair of, in femoral artery and restoration of arterial continuity (Anaes.) (Assist.)",1687.75
33500,"ARTERY OR ARTERIES OF NECK, endarterectomy of, including closure by suture (where endarterectomy of 1 or more arteries is undertaken through 1 arteriotomy incision) (Anaes.) (Assist.)",1293.45
33521,"ILIO-FEMORAL ENDARTERECTOMY (1 side), including closure by suture (Anaes.) (Assist.)",1567.6
33815,"MAJOR ARTERY OR VEIN OF EXTREMITY, repair of wound of, with restoration of continuity, by lateral suture (Anaes.) (Assist.)",976.55
33833,"MAJOR ARTERY OR VEIN OF ABDOMEN, repair of wound of, with restoration of continuity by lateral suture (Anaes.) (Assist.)",1516.5
34109,"TEMPORAL ARTERY, biopsy of (Anaes.) (Assist.)",385.5
34136,"FIRST RIB, resection of portion of (Anaes.) (Assist.)",1019.3
34509,"ARTERIOVENOUS ANASTOMOSIS OF UPPER OR LOWER LIMB, not in conjunctionwith another venous or arterial operation (Anaes.) (Assist.)",1113.6
34518,"STENOSIS OF ARTERIOVENOUS FISTULA OR PROSTHETIC ARTERIOVENOUS ACCESS DEVICE, correction of (Anaes.) (Assist.)",1464.8
34527,"CENTRAL VEIN CATHETERISATION by open technique, using subcutaneous tunnel with pump or access port as with central venous line catheter or other chemotherapy delivery device, including any associated percutaneous central vein catheterisation, on apatient 10 years of age or over (Anaes.)",628.4
34528,"CENTRAL VEIN CATHETERISATION by percutaneous technique, using subcutaneous tunnel with pump or access port as with central venous line catheter or other chemotherapy delivery device, on a patient 10 years of age or over (Anaes.)",310.35
34530,"CENTRAL VENOUS LINE, OR OTHER CHEMOTHERAPY DEVICE, removal of, by open surgical procedure in the operating theatre of a hospital on apatient 10 years of age or over (Anaes.)",232.6
35003,CERVICAL OR UPPER THORACIC SYMPATHECTOMY by any surgical approach (Anaes.) (Assist.),1045.1
35100,"ISCHAEMIC LIMB, debridement of necrotic material, gangrenous tissue, or slough in, in the operating theatre of a hospital, when debridement includes muscle, tendon or bone (Anaes.) (Assist.)",419.85
35202,"MAJOR ARTERIES OR VEINS IN THE NECK, ABDOMEN OR EXTREMITIES, access to, as part of RE-OPERATION after prior surgery on these vessels (Anaes.) (Assist.)",930.85
35321,"PERIPHERAL ARTERIAL OR VENOUS CATHETERISATION to administer agents to occlude arteries, veins or arterio-venous fistulae or to arrest haemorrhage, (but not for the treatment of uterine fibroids or varicose veins) percutaneous or by open exposure, excluding associated radiological services or preparation, and excluding aftercare, not being a service associated with photodynamic therapy with verteporfin (Anaes.) (Assist.)",926.55
35412,"Intracranial aneurysm, ruptured or unruptured, endovascular occlusion with detachable coils, and assisted coiling (if performed), with parent artery preservation, not for use with liquid embolics only, including intra‑operative imaging, but in association with pre‑operative diagnostic imaging under item 60009 and one of items 60072, 60075 and 60078, including aftercare (Anaes.) (Assist.)",3255.35
35414,"Mechanical thrombectomy, in a patient with a diagnosis of acute ischaemic stroke caused by occlusion of a large vessel of the anterior cerebral circulation, including intra-operative imaging and aftercare, if: (a) the diagnosis is confirmed by an appropriate imaging modality such as computed tomography, magnetic resonance imaging or angiography; and (b) the service is performed by a specialist or consultant physician with appropriate training that is recognised by the Conjoint Committee for Recognition of Training in Interventional Neuroradiology; and (c) the service is provided in an eligible stroke centre. For any particular patient - applicable once per presentation by the patient at an eligible stroke centre, regardless of the number of times mechanical thrombectomy is attempted during that presentation (Anaes.) (Assist.)",3987.3
35500,"GYNAECOLOGICAL EXAMINATION UNDER ANAESTHESIA, not being a service associated with a service to which another item in this Group applies (Anaes.)",92.65
35503,"Introduction of an intra-uterine device for abnormal uterine bleeding or contraception or for endometrial protection during oestrogen replacement therapy, if the service is not associated with a service to which another item in this Group applies (other than a service described in item 30062, 35506 or 35620) (Anaes.)",91.35
35506,"Intra-uterine device, removal of under general anaesthesia, for a retained or embedded device, not being a service associated with a service to which another item in this Group applies (other than a service described in item 35503) (Anaes.)",61.15
35509,HYMENECTOMY (Anaes.),101.95
35513,"Bartholin's abscess, cyst or gland, excision of (Anaes.)",252.6
35517,"Bartholin's abscess, cyst or gland, marsupialisation of (Anaes.)",166.4
35533,"Vulvoplasty or labioplasty, for repair of: (a) female genital mutilation; or (b) an anomaly associated with a major congenital anomaly of the uro-gynaecological tract other than a service associated with a service to which item 35536, 37836, 37050, 37842, 37851 or 43882 applies (Anaes.)",398.55
35536,"Vulva, wide local excision or hemivulvectomy, one or both procedures, for suspected malignancy or vulval lesions with a high risk of malignancy (Anaes.) (Assist.)",396.95
35539,"Colposcopically directed laser therapy for histologically-confirmed high grade intraepithelial neoplastic changes of the vagina, vulva, urethra or anal canal, including any associated biopsies—one anatomical site (Anaes.)",310.95
35548,"VULVECTOMY, radical, for malignancy (H) (Anaes.) (Assist.)",1425.25
35551,"Pelvic lymph nodes, radical excision of,unilateral, or sentinel node dissection (including any pre-operative injection) (Anaes.) (Assist.)",1053.45
35557,"Vagina, complete excision of benign tumour (including Gartner duct cyst), with histological documentation (Anaes.)",244.3
35568,Procedures for the management of symptomatic upper vaginal (vault or cervical) prolapse by sacrospinous or ilococcygeus fixation (H) (Anaes.) (Assist.),711.5
35569,PLASTIC REPAIR TO ENLARGE VAGINAL ORIFICE (Anaes.),183.25
